Timeline,Start time,Duration,Row,Instance number,Action,Box Touch Number,Lineup,LiveDrills,On Court,PossessionType,Reversal Number,Shot Quality,Teaching,Ungrouped,Notes,Flags
251008,5283.167996,10.0,#11 Brian Waddell,11,Turnover,,,5v5,,,,,,,,
251008,5594.957039416,10.0,#11 Brian Waddell,12,Cut Assist,,,5v5,,,,,,,,
251008,5679.289461915,10.0,#11 Brian Waddell,13,Deflection,,,5v5,,,,,,,,
251008,5799.906352318,8.0,#11 Brian Waddell,14,+3,Box Touch 0,,5v5,,,Reversal 1,Shot Qual 3,,,,
251008,5809.600901152,10.0,#11 Brian Waddell,15,Steal,,,5v5,,,,,,,,
251008,5931.983470026,8.0,#11 Brian Waddell,16,+2,Box Touch 1,,5v5,,,Reversal 0,Shot Qual 4,,,,
251008,5931.983470026,10.0,#11 Brian Waddell,17,Cut FG,,,5v5,,,,,,,,
251008,5994.678458314,10.0,#11 Brian Waddell,18,Turnover,,,5v5,,,,,,,,
251008,6113.352775673,8.0,#11 Brian Waddell,19,-3,Box Touch 1,,5v5,,,Reversal 0,Shot Qual 3,,,,
251008,6300.230045328,10.0,#11 Brian Waddell,20,Assist,,,5v5,,,,,,,,
251008,1070.003120444,10.0,#4 Grant Neal,1,D REB,,,Scramble,,,,,,,,
251008,1190.685241217,10.0,#4 Grant Neal,2,Deflection,,,Scramble,,,,,,,,
251008,1342.72234004,10.0,#4 Grant Neal,3,O REB,,,Scramble,,,,,,,,
251008,2549.946792359,10.0,#4 Grant Neal,4,Deflection,,,Kill Drill,,,,,,,,
251008,2598.516031079,10.0,#4 Grant Neal,5,Deflection,,,Kill Drill,,,,,,,,
251008,2632.74771362,10.0,#4 Grant Neal,6,Deflection,,,Kill Drill,,,,,,,,
251008,2684.198372324,10.0,#4 Grant Neal,7,Assist,,,Kill Drill,,,,,,,,
251008,5689.46700126,10.0,#4 Grant Neal,8,Deflection,,,5v5,,,,,,,,
251008,6316.531065239,8.0,#4 Grant Neal,9,-2,Box Touch 0,,5v5,,,Reversal 1,Shot Qual 3,,,,
251008,6316.531065239,10.0,#4 Grant Neal,10,Cut FG,,,5v5,,,,,,,,
251008,1103.135293324,8.0,#23 Sam Donald,1,+3,Box Touch 0,,Scramble,,,Reversal 1,Shot Qual 3,,,,
251008,1345.440135147,7.702846116999808,#23 Sam Donald,2,-2,Box Touch 0,,Scramble,,,Reversal 0,Shot Qual 2,,,,
